platform,product_url,product_name,brand,price,mrp,discount_percent,product_rating,num_ratings,seller_name,review_text,review_rating
Amazon,https://www.amazon.in/Fire-Boltt-Display-Bluetooth-Calling-Assistance/dp/B0DTB2TZ84/ref=sr_1_9,"Fire-Boltt Ninja Call Pro Max Smart Watch 2.01 inch Display, Bluetooth Calling, 120+ Sports Modes, Health Suite, Voice Assistance (Forest Green)",Fire-Boltt,,,,,"-5,766",Clicktech Retail Private Ltd,"The watch displays and Sound Quality are Nice.Excellent productI’ve been using the Fire-Boltt Ninja Call Pro Plus for some time, and overall, it’s a great value for the price. The 1.83-inch display is bright and clear, Bluetooth calling works well for quick calls, and health features like SpO₂, heart rate, and sleep tracking are handy for daily use. Battery lasts around 5–7 days depending on usage, which is impressive.",
Amazon,https://www.amazon.in/GOBOULT-Brightness-Assistant-Monitoring-Tangerine/dp/B0FCSH2CWN/ref=sr_1_6,"Boult GOBOULT (Formerly Newly Launched Crown Smart Watch 1.95'' Screen, BT Calling, Working Crown,Zinc Alloy Frame,900Nits Brightness, AI Voice Assistant,SpO2 Monitoring, 120+ Sports Mode(Tangerine)",Boult,,,,,-200,Clicktech Retail Private Ltd,"I have been using the Boult Crown for a week now, and it's been a pleasant surprise. The 1.95"" screen is vibrant and super bright (900 nits is no joke — easy to see even in sunlight). The tangerine color is bold and stylish, and the zinc alloy frame gives it a premium feel.

BT calling works smoothly, and I love the addition of a working crown for easy navigation. The AI voice assistant is responsive, and health tracking features like SpO2 monitoring and heart rate tracking seem fairly accurate. It also supports a huge variety of sports modes — great for fitness enthusiasts, for the price, it's a solid buy
Highly recommended if you're looking for a budget-friendly smartwatch with premium features.",
Amazon,https://www.amazon.in/Samsung-Galaxy-Watch-Classic-Smartwatch/dp/B0FNS1J1BY/ref=sr_1_7,"Samsung Galaxy Watch 8 Classic (2025) 46mm Bluetooth Smartwatch – Black | Rotating Bezel, Sleep & Fitness Tracking, Energy Score, Quick Button with Smart Plug [US Version]",Samsung,,,,,-39,altaX® Official,,
Amazon,https://www.amazon.in/Bouncefit-D20-Fitness-Band-Smartwatch/dp/B0BSGXWTGP/ref=sr_1_8,"Bouncefit D20 Y68 Fitness Band Smart Watch for Men, Women, Boys, Girls, Kids – Single Touch Interface, Water Resistant, Workout Modes, Quick Charge Sports Smartwatch – Jet Black",Bouncefit,,,,,"-3,374",Clicktech Retail Private Ltd,I buy it very good product nice model and 👍,
Amazon,https://www.amazon.in/MARVIK-D20-Plus-Waterproof-Activity/dp/B0DS14JKB1/ref=sr_1_5,"MARVIK Smart Watch for Kids, Men, Boys, Girls, and Women, D20 Plus 2025, Latest for Android and iOS Phones, IP68 Waterproof with Daily Activity Tracker, Heart Rate Sensor, Sleep Monitor Watch - Black",MARVIK,,,,,"-1,155",Clicktech Retail Private Ltd,"Very bad product and this not working.
Not responding to the product which are not working completely",
Amazon,https://www.amazon.in/Huawei-Compatible-Emotional-Wellbeing-Monitoring/dp/B0FQPHYYMR/ref=sr_1_3,"Huawei Watch GT 6 Smart Watch, 41mm, Upto 14 Days Battery Life, Smart Watches with 100+ Sports Mode, Cycling, iOS & Android Compatible, Emotional Wellbeing, Health Monitoring (Purple)",Huawei,,,,,-7,Clicktech Retail Private Ltd,,
Amazon,https://www.amazon.in/boAt-Storm-Call-Navigation-Bluetooth/dp/B0D5LRGSCR/ref=sr_1_4,"boAt Storm Call 3 w/TBT Navigation, Daily Activity Tracker, DIY Watch Face Studio,700+ Active Modes, 1.83"" (4.6 cm) HD Display Fitness Smart Watch for Men & Women(Active Black)",boAt,,,,,"-34,374",Clicktech Retail Private Ltd,"Good Quality and have very nice features..
I was using Huawei watch and i am surprised with the features that boat has and even price wise too its too cheap.. highly recommended..
Happy with my purchase.",
Amazon,https://www.amazon.in/Noise-Advanced-Bluetooth-Brightness-Smartwatch/dp/B0B6BLTGTT/ref=sr_1_10,"Noise Pulse 2 Max 1.85"" Display, Bluetooth Calling Smart Watch, 10 Days Battery, 550 NITS Brightness, Smart DND, 100 Sports Modes, Smartwatch for Men and Women (Jet Black)",Noise,,,,,"-22,256",Clicktech Retail Private Ltd,"I’ve been using it for over 6 months now. The AMOLED display is big and looks great. In normal mode, the battery backup is very good — it lasts up to 10 days. However, with Wi-Fi on and Always-On Display enabled, the battery drains faster. Overall, the performance is good and I’m satisfied with it.",
Amazon,https://www.amazon.in/Noise-Launched-Bluetooth-Calling-Tracking/dp/B0BJ72WZQ7/ref=sr_1_1,"Noise Twist Round dial Smart Watch with Bluetooth Calling, 1.38"" TFT Display, up-to 7 Days Battery, 100+ Watch Faces, IP68, Heart Rate Monitor, Sleep Tracking (Jet Black)",Noise,,,,,"-49,557",Clicktech Retail Private Ltd,I is an amazing multifunctional watch. Syncs with the mobile flawlessly through the app as well✨️. Would recommend it to anyone looking for an affordable option or choice in smart watches. Also the fitness trackers are amazing as well👏,
Amazon,https://www.amazon.in/Fire-Boltt-Launched-Display-Bluetooth-Assistance/dp/B0C496V772/ref=sr_1_2,"Fire-Boltt Ninja Call Pro Max Smart Watch 2.01 inch Display, Bluetooth Calling, 120+ Sports Modes, Health Suite, Voice Assistance (Grey)",Fire-Boltt,,,,,"-1,23,022",Clicktech Retail Private Ltd,"At this point of price, it’s really good product.",
